"","X","Date","District","Meantemp","Totalrain","sumAOI","meanAOI","meanADI","Number.of.Sites","Total.traps","Number.of.positive.traps","Nummosquito","Nummosquito.per.trap","Nummosquito.per.1000.traps","Period","year","month"
"77",77,2012-02-01,"New Territories East",15.06551724,48.33333333,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","02"
"78",78,2012-02-01,"New Territories West",15.86551724,36,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","02"
"79",79,2012-03-01,"Hong Kong Island & Kowloon",19.37634409,21.875,0.093,0.003875,NA,24,1320,5,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","03"
"80",80,2012-03-01,"New Territories East",18.4688172,29.5,0.017,0.002125,NA,8,440,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","03"
"81",81,2012-03-01,"New Territories West",19.34645161,24,0.05,0.004166667,NA,12,660,3,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","03"
"82",82,2012-04-01,"Hong Kong Island & Kowloon",23.86111111,275.25,0.888,0.037,NA,24,1320,49,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","04"
"83",83,2012-04-01,"New Territories East",23.42444444,259.5,0.252,0.0315,NA,8,440,14,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","04"
"84",84,2012-04-01,"New Territories West",23.77733333,323.25,0.881,0.073416667,NA,12,660,48,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","04"
"85",85,2012-05-01,"Hong Kong Island & Kowloon",27.11182796,312.875,2.809,0.117041667,NA,24,1320,154,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","05"
"86",86,2012-05-01,"New Territories East",26.76774194,279.5,0.827,0.103375,NA,8,440,45,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","05"
"87",87,2012-05-01,"New Territories West",27.15354839,138.25,1.879,0.156583333,NA,12,660,103,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","05"
"88",88,2012-06-01,"Hong Kong Island & Kowloon",28.15444444,232.75,3.033,0.126375,NA,24,1320,167,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","06"
"89",89,2012-06-01,"New Territories East",27.67444444,321.8333333,0.99,0.12375,NA,8,440,54,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","06"
"90",90,2012-06-01,"New Territories West",27.96266667,144.375,1.186,0.098833333,NA,12,660,65,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","06"
"91",91,2012-07-01,"Hong Kong Island & Kowloon",28.67634409,390.625,1.221,0.050875,NA,24,1320,67,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","07"
"92",92,2012-07-01,"New Territories East",28.20873118,573.8333333,0.655,0.081875,NA,8,440,36,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","07"
"93",93,2012-07-01,"New Territories West",28.31354839,408,0.596,0.049666667,NA,12,660,33,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","07"
"94",94,2012-08-01,"Hong Kong Island & Kowloon",29.38924731,154.25,1.68,0.07,NA,24,1320,92,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","08"
"95",95,2012-08-01,"New Territories East",28.85528365,131.3333333,0.609,0.076125,NA,8,440,33,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","08"
"96",96,2012-08-01,"New Territories West",29.01548387,87.75,0.874,0.072833333,NA,12,660,48,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","08"
"97",97,2012-09-01,"Hong Kong Island & Kowloon",27.85666667,195.125,1.06,0.044166667,NA,24,1320,58,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","09"
"98",98,2012-09-01,"New Territories East",27.14992063,84.83333333,0.312,0.039,NA,8,440,17,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","09"
"99",99,2012-09-01,"New Territories West",27.66733333,49.125,0.573,0.04775,NA,12,660,32,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","09"
"100",100,2012-10-01,"Hong Kong Island & Kowloon",25.30645161,42.75,0.495,0.020625,NA,24,1320,27,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","10"
"101",101,2012-10-01,"New Territories East",24.72365591,53.83333333,0.253,0.031625,NA,8,440,14,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","10"
"102",102,2012-10-01,"New Territories West",25.30451613,50.25,0.279,0.02325,NA,12,660,15,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","10"
"103",103,2012-11-01,"Hong Kong Island & Kowloon",22.37888889,57,0.121,0.005041667,NA,24,1320,7,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","11"
"104",104,2012-11-01,"New Territories East",21.24444444,88.33333333,0.128,0.016,NA,8,440,7,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","11"
"105",105,2012-11-01,"New Territories West",21.81666667,69,0.093,0.00775,NA,12,660,5,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","11"
"106",106,2012-12-01,"Hong Kong Island & Kowloon",18.10430108,47.375,0.112,0.004666667,NA,24,1320,6,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","12"
"107",107,2012-12-01,"New Territories East",16.90967742,45.66666667,0.035,0.004375,NA,8,440,2,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","12"
"108",108,2012-12-01,"New Territories West",17.41096774,50.375,0.017,0.001416667,NA,12,660,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","12"
"109",109,2013-01-01,"Hong Kong Island & Kowloon",16.97526882,3.25,0.019,0.000791667,NA,24,1320,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","01"
"110",110,2013-01-01,"New Territories East",15.73225806,9.666666667,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","01"
"111",111,2013-01-01,"New Territories West",16.23032258,2.625,0.019,0.001583333,NA,12,660,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","01"
"112",112,2013-02-01,"Hong Kong Island & Kowloon",19.27261905,2.375,0.018,0.00075,NA,24,1320,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","02"
"113",113,2013-02-01,"New Territories East",18.58571429,1,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","02"
"114",114,2013-02-01,"New Territories West",19.06071429,1.125,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","02"
"115",115,2013-03-01,"Hong Kong Island & Kowloon",20.62903226,123.125,0,0,NA,24,1320,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","03"
"116",116,2013-03-01,"New Territories East",19.71182796,111.6666667,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","03"
"117",117,2013-03-01,"New Territories West",20.50967742,122,0.018,0.0015,NA,12,660,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","03"
"118",118,2013-04-01,"Hong Kong Island & Kowloon",21.88261905,185,0.602,0.025083333,NA,24,1320,33,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","04"
"119",119,2013-04-01,"New Territories East",21.13,242.1666667,0.204,0.0255,NA,8,440,11,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","04"
"120",120,2013-04-01,"New Territories West",21.73533333,207.625,0.281,0.023416667,NA,12,660,15,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","04"
"121",121,2013-05-01,"Hong Kong Island & Kowloon",25.76021505,397.375,2.359,0.098291667,NA,24,1320,130,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","05"
"122",122,2013-05-01,"New Territories East",25.4704086,421.1666667,1.067,0.133375,NA,8,440,59,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","05"
"123",123,2013-05-01,"New Territories West",25.76223656,351.25,1.522,0.126833333,NA,12,660,84,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","05"
"124",124,2013-06-01,"Hong Kong Island & Kowloon",28.25333333,347.5,3.274,0.136416667,NA,24,1320,180,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","06"
"125",125,2013-06-01,"New Territories East",28.16444444,440.6666667,1.27,0.15875,NA,8,440,70,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","06"
"126",126,2013-06-01,"New Territories West",28.07847619,288.5,1.537,0.128083333,NA,12,660,85,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","06"
"127",127,2013-07-01,"Hong Kong Island & Kowloon",28.07741935,398.375,2.04,0.085,NA,24,1320,112,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","07"
"128",128,2013-07-01,"New Territories East",28.00537634,416.6666667,0.601,0.075125,NA,8,440,33,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","07"
"129",129,2013-07-01,"New Territories West",27.97354839,284.875,0.477,0.03975,NA,12,660,26,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","07"
"130",130,2013-08-01,"Hong Kong Island & Kowloon",28.6172043,348.625,1.765,0.073541667,NA,24,1320,97,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","08"
"131",131,2013-08-01,"New Territories East",28.60364823,392,0.594,0.07425,NA,8,440,33,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","08"
"132",132,2013-08-01,"New Territories West",28.2884086,273.25,0.492,0.041,NA,12,660,27,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","08"
"133",133,2013-09-01,"Hong Kong Island & Kowloon",27.77333333,360.625,1.211,0.050458333,NA,24,1320,67,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","09"
"134",134,2013-09-01,"New Territories East",27.4802381,297.8333333,0.687,0.085875,NA,8,440,38,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","09"
"135",135,2013-09-01,"New Territories West",27.41133333,281.625,0.691,0.057583333,NA,12,660,38,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","09"
"136",136,2013-10-01,"Hong Kong Island & Kowloon",25.56529477,1.375,0.541,0.022541667,NA,24,1320,30,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","10"
"137",137,2013-10-01,"New Territories East",25.08064516,2.666666667,0.306,0.03825,NA,8,440,17,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","10"
"138",138,2013-10-01,"New Territories West",25.21290323,6.125,0.145,0.012083333,NA,12,660,8,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","10"
"139",139,2013-11-01,"Hong Kong Island & Kowloon",21.93,62.75,0.186,0.00775,NA,24,1320,10,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","11"
"140",140,2013-11-01,"New Territories East",21.08444444,46.5,0.018,0.00225,NA,8,440,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","11"
"141",141,2013-11-01,"New Territories West",21.49666667,50.625,0.06,0.005,NA,12,660,3,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","11"
"142",142,2013-12-01,"Hong Kong Island & Kowloon",16.05268817,76,0.018,0.00075,NA,24,1320,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","12"
"143",143,2013-12-01,"New Territories East",14.45591398,72,0.018,0.00225,NA,8,440,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","12"
"144",144,2013-12-01,"New Territories West",15.39741935,113.75,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2013","12"
"145",145,2014-01-01,"Hong Kong Island & Kowloon",16.20860215,0.125,0,0,NA,24,1320,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","01"
"146",146,2014-01-01,"New Territories East",15.25806452,0,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","01"
"147",147,2014-01-01,"New Territories West",15.95548387,0,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","01"
"148",148,2014-02-01,"Hong Kong Island & Kowloon",15.56071429,35.625,0,0,NA,24,1320,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","02"
"149",149,2014-02-01,"New Territories East",14.77738095,28.33333333,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","02"
"150",150,2014-02-01,"New Territories West",15.20857143,34.875,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","02"
"151",151,2014-03-01,"Hong Kong Island & Kowloon",18.80752688,152.4,0,0,NA,24,1320,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","03"
"152",152,2014-03-01,"New Territories East",18.4465233,218.8333333,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","03"
"153",153,2014-03-01,"New Territories West",18.91290323,200.125,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","03"
"154",154,2014-04-01,"Hong Kong Island & Kowloon",22.72777778,126.875,0.295,0.012291667,NA,24,1320,16,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","04"
"155",155,2014-04-01,"New Territories East",22.54888889,118.6666667,0.283,0.035375,NA,8,440,16,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","04"
"156",156,2014-04-01,"New Territories West",22.90866667,126.375,0.21,0.0175,NA,12,660,12,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","04"
"157",157,2014-05-01,"Hong Kong Island & Kowloon",26.26344086,711.875,2.369,0.098708333,NA,24,1320,130,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","05"
"158",158,2014-05-01,"New Territories East",25.95483871,670.5,1.238,0.15475,NA,8,440,68,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","05"
"159",159,2014-05-01,"New Territories West",26.23677419,526.25,1.62,0.135,NA,12,660,89,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","05"
"160",160,2014-06-01,"Hong Kong Island & Kowloon",28.83777778,413.675,2.743,0.114291667,NA,24,1320,151,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","06"
"161",161,2014-06-01,"New Territories East",28.64555556,316.5,1.285,0.160625,NA,8,440,71,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","06"
"162",162,2014-06-01,"New Territories West",28.664,288.25,1.081,0.090083333,NA,12,660,59,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2014","06"
